bandwidth 	"oxc control + rt scheduling" 	"oxc control + cfs scheduling"
0.05/1		18.5313					19.2151	1	
0.1/1		36.8924					39.4268	2
0.2/1		73.5099					77.4225	3
0.4/1		147.806					151.465	4
0.6/1		225.72					234.369	5
0.8/1		297.607					305.1	6
