bandwidth 	"oxc control + rt scheduling" 	"rt throttling" 
0.05/1		18.5313			21.9335		1
0.1/1		36.8924			43.5794		2
0.2/1		73.5099			92.7356		3
0.4/1		147.806			172.582		4
0.6/1		225.72			233		5
0.8/1		297.607			319.279		6
